vehicle_id,model,chemistry,capacity_kwh,cycle_number,odometer_km,avg_temperature_c,max_temperature_c,fast_charge_ratio,depth_of_discharge,c_rate,internal_resistance_mohm,cell_voltage_variance,cumulative_kwh_throughput,state_of_health,remaining_useful_life_cycles,is_anomaly
EV-101,Tesla Model Y Long Range,NMC 811,78.1,1,38,31.12,36.55,0.298,0.872,1.12,1.402,0.0076,125.9,99.95,579,0
EV-101,Tesla Model Y Long Range,NMC 811,78.1,2,83,37.76,41.77,0.319,0.882,1.15,1.404,0.0079,255.0,99.88,487,0
EV-101,Tesla Model Y Long Range,NMC 811,78.1,3,115,36.13,49.87,0.345,0.863,1.19,1.806,0.0082,373.9,99.82,493,1
EV-101,Tesla Model Y Long Range,NMC 811,78.1,4,172,42.11,55.94,0.338,0.831,1.18,1.809,0.0082,480.3,99.74,452,1
EV-101,Tesla Model Y Long Range,NMC 811,78.1,5,197,31.33,35.49,0.317,0.933,1.15,1.411,0.0079,673.8,99.69,481,0
EV-101,Tesla Model Y Long Range,NMC 811,78.1,6,242,43.14,55.47,0.399,0.904,1.27,1.814,0.009,783.5,99.59,435,1
EV-101,Tesla Model Y Long Range,NMC 811,78.1,7,301,33.94,43.61,0.372,0.854,1.23,1.416,0.0087,864.0,99.55,456,0
EV-101,Tesla Model Y Long Range,NMC 811,78.1,8,319,34.39,47.66,0.326,0.81,1.16,1.817,0.0081,936.3,99.5,476,0
EV-101,Tesla Model Y Long Range,NMC 811,78.1,9,374,39.0,48.87,0.383,0.955,1.25,1.82,0.0089,1241.9,99.43,462,0
EV-101,Tesla Model Y Long Range,NMC 811,78.1,10,405,35.59,41.24,0.426,0.847,1.31,1.422,0.0094,1223.5,99.38,470,0
EV-101,Tesla Model Y Long Range,NMC 811,78.1,11,460,39.61,49.67,0.265,0.851,1.07,1.824,0.0075,1353.3,99.31,470,1
EV-101,Tesla Model Y Long Range,NMC 811,78.1,12,503,37.83,45.54,0.377,0.848,1.24,1.826,0.0089,1471.1,99.26,471,0
EV-101,Tesla Model Y Long Range,NMC 811,78.1,13,550,30.68,44.4,0.265,0.894,1.07,1.427,0.0075,1680.1,99.22,485,0
EV-101,Tesla Model Y Long Range,NMC 811,78.1,14,541,35.88,40.28,0.397,0.852,1.27,1.429,0.0091,1723.3,99.17,490,0
EV-101,Tesla Model Y Long Range,NMC 811,78.1,15,582,36.76,46.4,0.274,0.867,1.08,1.831,0.0077,1878.9,99.12,494,0
EV-101,Tesla Model Y Long Range,NMC 811,78.1,16,665,45.22,51.25,0.392,0.902,1.26,1.835,0.0091,2084.1,99.01,470,1
EV-101,Tesla Model Y Long Range,NMC 811,78.1,17,668,33.8,38.86,0.379,0.886,1.24,1.436,0.009,2176.7,98.97,477,0
EV-101,Tesla Model Y Long Range,NMC 811,78.1,18,722,37.69,44.94,0.388,0.904,1.25,1.438,0.0091,2351.7,98.91,476,0
EV-101,Tesla Model Y Long Range,NMC 811,78.1,19,777,33.59,39.24,0.331,0.889,1.17,1.44,0.0085,2441.0,98.86,483,0
EV-101,Tesla Model Y Long Range,NMC 811,78.1,20,786,39.93,46.37,0.292,0.842,1.11,1.842,0.008,2434.5,98.8,481,0
EV-101,Tesla Model Y Long Range,NMC 811,78.1,21,887,36.5,42.97,0.239,0.913,1.03,1.444,0.0074,2771.0,98.75,484,0
EV-101,Tesla Model Y Long Range,NMC 811,78.1,22,925,37.54,44.99,0.342,0.862,1.18,1.446,0.0087,2740.3,98.7,485,0
EV-101,Tesla Model Y Long Range,NMC 811,78.1,23,907,42.79,47.6,0.219,0.92,1.0,1.848,0.0072,3056.5,98.62,477,0
EV-101,Tesla Model Y Long Range,NMC 811,78.1,24,1029,42.76,56.59,0.405,0.871,1.28,1.851,0.0095,3021.1,98.54,468,1
EV-101,Tesla Model Y Long Range,NMC 811,78.1,25,983,43.36,55.94,0.321,0.887,1.15,1.854,0.0086,3202.9,98.46,460,1
EV-101,Tesla Model Y Long Range,NMC 811,78.1,26,1134,39.69,47.18,0.347,0.902,1.19,1.856,0.0089,3388.4,98.39,458,0
EV-101,Tesla Model Y Long Range,NMC 811,78.1,27,1113,39.53,50.89,0.365,0.801,1.22,1.858,0.0091,3125.8,98.33,458,1
EV-101,Tesla Model Y Long Range,NMC 811,78.1,28,1150,40.62,46.37,0.39,0.845,1.26,1.861,0.0095,3416.6,98.26,455,0
EV-101,Tesla Model Y Long Range,NMC 811,78.1,29,1249,37.44,44.23,0.347,0.89,1.19,1.463,0.009,3730.9,98.21,456,0
EV-101,Tesla Model Y Long Range,NMC 811,78.1,30,1308,41.15,54.03,0.352,0.867,1.2,1.865,0.0091,3757.2,98.14,453,1
EV-101,Tesla Model Y Long Range,NMC 811,78.1,31,1230,32.69,46.1,0.376,0.908,1.24,1.867,0.0094,4068.9,98.1,457,0
EV-101,Tesla Model Y Long Range,NMC 811,78.1,32,1249,32.75,41.24,0.402,0.871,1.27,1.468,0.0097,4027.4,98.06,461,0
EV-101,Tesla Model Y Long Range,NMC 811,78.1,33,1314,36.47,47.91,0.343,0.864,1.19,1.87,0.009,4118.9,98.01,463,0
EV-101,Tesla Model Y Long Range,NMC 811,78.1,34,1412,46.38,56.75,0.288,0.894,1.1,1.873,0.0084,4393.7,97.91,454,1
EV-101,Tesla Model Y Long Range,NMC 811,78.1,35,1470,37.44,44.94,0.343,0.888,1.19,1.475,0.0091,4489.4,97.86,454,0
EV-101,Tesla Model Y Long Range,NMC 811,78.1,36,1534,39.91,48.9,0.387,0.864,1.25,1.877,0.0096,4494.9,97.79,452,0
EV-101,Tesla Model Y Long Range,NMC 811,78.1,37,1528,37.79,51.32,0.254,0.868,1.05,1.879,0.0081,4640.6,97.74,453,1
EV-101,Tesla Model Y Long Range,NMC 811,78.1,38,1487,38.34,43.1,0.369,0.885,1.22,1.481,0.0095,4861.5,97.68,453,0
EV-101,Tesla Model Y Long Range,NMC 811,78.1,39,1498,33.8,46.24,0.338,0.823,1.18,1.883,0.0091,4636.9,97.64,457,0
EV-101,Tesla Model Y Long Range,NMC 811,78.1,40,1590,33.68,41.27,0.262,0.894,1.06,1.484,0.0082,5169.2,97.6,460,0
EV-101,Tesla Model Y Long Range,NMC 811,78.1,41,1661,39.69,49.22,0.388,0.862,1.25,1.886,0.0098,5105.7,97.54,458,1
EV-101,Tesla Model Y Long Range,NMC 811,78.1,42,1644,33.16,52.26,0.307,0.895,1.13,1.89,0.0338,5431.6,97.44,450,1
EV-101,Tesla Model Y Long Range,NMC 811,78.1,43,1718,38.02,46.4,0.335,0.855,1.17,1.891,0.0092,5310.4,97.39,450,0
